window_idx,train_start,train_end,test_start,test_end,test_bars,total_return_pct,max_drawdown_pct,sharpe,hit_rate,exposure,turns,avg_cost_per_bar_pct
0,0,600,600,800,200,0.0,0.0,0.0,0.0,0.0,0,0.0
1,200,800,800,1000,200,0.0,0.0,0.0,0.0,0.0,0,0.0
2,400,1000,1000,1200,200,0.0,0.0,0.0,0.0,0.0,0,0.0
3,600,1200,1200,1400,200,0.0,0.0,0.0,0.0,0.0,0,0.0
4,800,1400,1400,1600,200,0.0,0.0,0.0,0.0,0.0,0,0.0
5,1000,1600,1600,1800,200,0.0,0.0,0.0,0.0,0.0,0,0.0
6,1200,1800,1800,2000,200,0.0,0.0,0.0,0.0,0.0,0,0.0
7,1400,2000,2000,2200,200,0.0,0.0,0.0,0.0,0.0,0,0.0
8,1600,2200,2200,2400,200,0.0,0.0,0.0,0.0,0.0,0,0.0
9,1800,2400,2400,2600,200,0.0,0.0,0.0,0.0,0.0,0,0.0
10,2000,2600,2600,2800,200,0.0,0.0,0.0,0.0,0.0,0,0.0
11,2200,2800,2800,3000,200,0.0,0.0,0.0,0.0,0.0,0,0.0
12,2400,3000,3000,3200,200,0.0,0.0,0.0,0.0,0.0,0,0.0
13,2600,3200,3200,3400,200,0.0,0.0,0.0,0.0,0.0,0,0.0
14,2800,3400,3400,3600,200,0.0,0.0,0.0,0.0,0.0,0,0.0
15,3000,3600,3600,3800,200,0.0,0.0,0.0,0.0,0.0,0,0.0
16,3200,3800,3800,4000,200,0.0,0.0,0.0,0.0,0.0,0,0.0
17,3400,4000,4000,4200,200,0.0,0.0,0.0,0.0,0.0,0,0.0
18,3600,4200,4200,4400,200,0.0,0.0,0.0,0.0,0.0,0,0.0
19,3800,4400,4400,4600,200,0.0,0.0,0.0,0.0,0.0,0,0.0
20,4000,4600,4600,4800,200,0.0,0.0,0.0,0.0,0.0,0,0.0
21,4200,4800,4800,5000,200,0.0,0.0,0.0,0.0,0.0,0,0.0
22,4400,5000,5000,5200,200,0.0,0.0,0.0,0.0,0.0,0,0.0
23,4600,5200,5200,5400,200,0.0,0.0,0.0,0.0,0.0,0,0.0
24,4800,5400,5400,5600,200,0.0,0.0,0.0,0.0,0.0,0,0.0
25,5000,5600,5600,5800,200,0.0,0.0,0.0,0.0,0.0,0,0.0
26,5200,5800,5800,6000,200,0.0,0.0,0.0,0.0,0.0,0,0.0
27,5400,6000,6000,6200,200,0.0,0.0,0.0,0.0,0.0,0,0.0
28,5600,6200,6200,6400,200,0.0,0.0,0.0,0.0,0.0,0,0.0
29,5800,6400,6400,6600,200,0.0,0.0,0.0,0.0,0.0,0,0.0
30,6000,6600,6600,6800,200,0.0,0.0,0.0,0.0,0.0,0,0.0
31,6200,6800,6800,7000,200,0.0,0.0,0.0,0.0,0.0,0,0.0
32,6400,7000,7000,7200,200,0.0,0.0,0.0,0.0,0.0,0,0.0
33,6600,7200,7200,7400,200,0.0,0.0,0.0,0.0,0.0,0,0.0
34,6800,7400,7400,7600,200,0.0,0.0,0.0,0.0,0.0,0,0.0
35,7000,7600,7600,7800,200,0.0,0.0,0.0,0.0,0.0,0,0.0
36,7200,7800,7800,8000,200,0.0,0.0,0.0,0.0,0.0,0,0.0
37,7400,8000,8000,8200,200,0.0,0.0,0.0,0.0,0.0,0,0.0
38,7600,8200,8200,8400,200,0.0,0.0,0.0,0.0,0.0,0,0.0
39,7800,8400,8400,8600,200,0.0,0.0,0.0,0.0,0.0,0,0.0
40,8000,8600,8600,8800,200,0.0,0.0,0.0,0.0,0.0,0,0.0
41,8200,8800,8800,9000,200,0.0,0.0,0.0,0.0,0.0,0,0.0
42,8400,9000,9000,9200,200,5.089440031285064,-0.07000000000000048,6.527384210068803,0.005,0.005,2,0.0007
43,8600,9200,9200,9400,200,0.0,0.0,0.0,0.0,0.0,0,0.0
44,8800,9400,9400,9600,200,0.0,0.0,0.0,0.0,0.0,0,0.0
45,9000,9600,9600,9800,200,0.0,0.0,0.0,0.0,0.0,0,0.0
